rating,title,text,asin,timestamp,helpful_vote,verified_purchase,sentiment,clean_text
4.0,Over priced.,This is way over priced. Love this product but they have raised the price on this and that’s ridiculous.,B07FB335D4,1585957966631,3,False,positive,way priced love product raised price ridiculous
1.0,Terrible quality,Ordered 2 wigs and the quality was absolutely horrible and looked super fake. And the hairline and style wasn't as shown in pictures. Will never order again.,B07XRFLQGT,1594489075548,0,True,negative,ordered wig quality absolutely horrible looked super fake hairline style shown picture never order
2.0,The first time I used it the bristles on the ...,The first time I used it the bristles on the outside broke off.  this product is not worth the money.,B01195J43I,1455746805000,0,True,negative,first time used bristle outside broke product not worth money
1.0,CRAP,Crap,B08RWK3YJS,1621030319143,0,True,negative,crap
3.0,Items are small,"Honestly i thought the items were bigger, the bronzing powder you can get more than 2 uses out of but the lotions are like a 1 time use thing",B01N1T0RZ8,1535152423468,0,True,neutral,honestly thought item bigger bronzing powder get us lotion like time use thing
3.0,Smaller than pictured,I like the clips but they are much smaller than pictured. Wouldn’t work for thicker hair.,B08NT18HNJ,1641247222039,0,True,neutral,like clip much smaller pictured work thicker hair
1.0,You're better off buying that and using a paint brush,"Honestly, this is NO different than children's glue/paste that they do crafts with or even eat. You're better off buying that and using a paint brush. Much more bang for your buck!",B01CTQC9J2,1481558014000,0,True,negative,honestly different child glue paste craft even eat better buying using paint brush much bang buck
5.0,Excellent quality!,The headbands are good quality and very nice. When you wear them they are not so tight where they give you a headache. The fabric used to pull your hair back is soft and it will keep your hair in place. Overall I love these.,B08MTBMKGP,1608502682735,0,True,positive,headband good quality nice wear not tight give headache fabric used pull hair back soft keep hair place overall love
3.0,Sulfate-free shampoo,I had my hair keratin treated so I needed sulfate free shampoo. For the money it isn't really worth it because the smell is so so and it did not add anybody or shine to my hair. I probably would not purchase it again. There are plenty of sulfate-free shampoos on the market for far less money. Matter of fact the brand of keratin I used was Global keratin so I thought it would be good to have the shampoo from the same company but the truth is that the Keratin itself was really not that great.,B014AP7TZE,1541596201562,5,True,neutral,hair keratin treated needed sulfate free shampoo money really worth smell not add anybody shine hair probably would not purchase plenty sulfate free shampoo market far less money matter fact brand keratin used global keratin thought would good shampoo company truth keratin really not great
3.0,"They’re rollers, nothing special","They’re sturdy and all, but two of them came scratched/ a little crushed which isn’t really a big deal since they’re still usable.",B07DTM15KM,1583600170966,0,True,neutral,sturdy two came scratched little crushed really big deal since still usable
